ID,Title,Date,Image_URL,Characters,Page_URL,arc_number,arc_name
0574,To The Window,"March 9, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-09-to-the-window.png,"Duchess, Fox, King",https://www.housepetscomic.com/comic/2012/03/09/to-the-window/,51.0,Show Business
0575,Small Talk,"March 12, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-12-small-talk.png,"King, Tarot",https://www.housepetscomic.com/comic/2012/03/12/small-talk/,51.0,Show Business
0576,Nah,"March 14, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-14-nah.png,"Bino, King, Sasha, TV",https://www.housepetscomic.com/comic/2012/03/14/nah/,51.0,Show Business
0577,Tight Spaces,"March 16, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-16-tight-spaces.png,"Duchess, King",https://www.housepetscomic.com/comic/2012/03/16/tight-spaces/,51.0,Show Business
0578,The Optimal Solution,"March 19, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-19-the-optimal-solution.png,"Duchess, King",https://www.housepetscomic.com/comic/2012/03/19/the-optimal-solution/,51.0,Show Business
0579,Fear Of The Known,"March 21, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-21-fear-of-the-known.png,"Bailey, King",https://www.housepetscomic.com/comic/2012/03/21/fear-of-the-known/,51.0,Show Business
0580,The Morning After,"March 23, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-23-the-morning-after.png,"Bino, Duchess",https://www.housepetscomic.com/comic/2012/03/23/the-morning-after/,51.0,Show Business
0581,The Hunger (For) Games,"March 26, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-26-the-hunger-for-games.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2012/03/26/the-hunger-for-games/,,
0582,The Exciting Adventures Of Tiger,"March 28, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-28-the-exciting-adventures-of-tiger.png,"Marvin, Tiger",https://www.housepetscomic.com/comic/2012/03/28/the-exciting-adventures-of-tiger/,,
0583,Perfect Hair Forever,"March 30, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-03-30-perfect-hair-forever.png,"Nefarious Villains, Ridiculous Hair, Spot (Superdog)",https://www.housepetscomic.com/comic/2012/03/30/perfect-hair-forever/,,
0584,Return To The Return To The Zoo,"April 2, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-02-return-to-the-return-to-the-zoo.png,"Duke, Karishad, Rock",https://www.housepetscomic.com/comic/2012/04/02/return-to-the-return-to-the-zoo/,52.0,What Money Buys
0585,Craving A Raving,"April 4, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-04-craving-a-raving.png,"Duke, Keene, Rock, Zoo Keeper",https://www.housepetscomic.com/comic/2012/04/04/craving-a-raving/,52.0,What Money Buys
0586,The Proposal–I Mean Proposition,"April 6, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-06-the-proposal-i-mean-proposition.png,"Karishad, Keene",https://www.housepetscomic.com/comic/2012/04/06/the-proposal-i-mean-proposition/,52.0,What Money Buys
0587,Smile Though Your Heart Is Breaking,"April 9, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-09-smile-though-your-heart-is-breaking.png,"Keene, Steward",https://www.housepetscomic.com/comic/2012/04/09/smile-though-your-heart-is-breaking/,52.0,What Money Buys
0588,The Pachyderm Lodge,"April 11, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-11-the-pachyderm-lodge.png,"Keene, Steward",https://www.housepetscomic.com/comic/2012/04/11/the-pachyderm-lodge/,52.0,What Money Buys
0589,On Purpose,"April 13, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-13-on-purpose.png,"Karishad, Keene",https://www.housepetscomic.com/comic/2012/04/13/on-purpose/,52.0,What Money Buys
0590,Wizard Needs Sleep Badly,"April 16, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-16-wizard-needs-sleep-badly.png,"Dallas, Joey, Lester",https://www.housepetscomic.com/comic/2012/04/16/wizard-needs-sleep-badly/,,
0591,The Problem,"April 18, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-18-the-problem.png,"Fido, Spo",https://www.housepetscomic.com/comic/2012/04/18/the-problem/,,
0592,With A Twist,"April 20, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-20-with-a-twist.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2012/04/20/with-a-twist/,,
0593,Come One Come Mall,"April 23, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-23-come-one-come-mall.png,"Grape, Mrs. Sandwich, Peanut",https://www.housepetscomic.com/comic/2012/04/23/come-one-come-mall/,53.0,The Mall
0594,Gotta Push Them Mall,"April 25, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-25-gotta-push-them-mall.png,"Grape, Peanut, Toystore Manager",https://www.housepetscomic.com/comic/2012/04/25/gotta-push-them-mall/,53.0,The Mall
0595,The Clothing Department,"April 27, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-27-the-clothing-department.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2012/04/27/the-clothing-department/,53.0,The Mall
0596,Mallopulence,"April 30, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-04-30-mallopulence.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2012/04/30/mallopulence/,53.0,The Mall
0597,A Softer Mall,"May 2, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-02-a-softer-mall.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2012/05/02/a-softer-mall/,53.0,The Mall
0598,Comedy Tonight,"May 4, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-04-comedy-tonight.png,"Grape, Joey, Maxwell, Mr. Bigglesworth, Neighborhood Cats, Peanut, Random People, Squeak",https://www.housepetscomic.com/comic/2012/05/04/comedy-tonight/,53.0,The Mall
0599,Round Table Discussion At A Square Table,"May 7, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-07-round-table-discussion-at-a-square-table.png,"Bat-Bat, Mr. Sorceror, Spot (Superdog), The Krunlk, The Underwater Mutt",https://www.housepetscomic.com/comic/2012/05/07/round-table-discussion-at-a-square-table/,54.0,The Critical Review of Spot
0600,Righting The Wrong Rights Wrongly,"May 9, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-09-righting-the-wrong-rights-wrongly.png,"Bat-Bat, Critic, Mr. Sorceror, Spot (Superdog), The Krunlk, The Underwater Mutt",https://www.housepetscomic.com/comic/2012/05/09/righting-the-wrong-rights-wrongly/,54.0,The Critical Review of Spot
0601,In All Fairness,"May 11, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-11-in-all-fairness.png,"Bat-Bat, Critic, Innocent Bystanders, Mr. Sorceror, Spot (Superdog), The Krunlk, The Underwater Mutt",https://www.housepetscomic.com/comic/2012/05/11/in-all-fairness/,54.0,The Critical Review of Spot
0602,Chains Of Darkness,"May 14, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-14-chains-of-darkness.png,"Cerberus, Pete",https://www.housepetscomic.com/comic/2012/05/14/chains-of-darkness/,55.0,The Trial in Heaven
0603,Here Come Da Judge,"May 16, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-16-here-come-da-judge.png,"Bahamut, Cerberus, Great Kitsune, Pete",https://www.housepetscomic.com/comic/2012/05/16/here-come-da-judge/,55.0,The Trial in Heaven
0604,Mitigating Litigation,"May 18, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-18-mitigating-litigation.png,"Bahamut, Cerberus, Great Kitsune, Pete",https://www.housepetscomic.com/comic/2012/05/18/mitigating-litigation/,55.0,The Trial in Heaven
0605,You Could Wait A Lifetime,"May 21, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-21-you-could-wait-a-lifetime.png,"Bahamut, Innocent Bystanders, Pete",https://www.housepetscomic.com/comic/2012/05/21/you-could-wait-a-lifetime/,55.0,The Trial in Heaven
0606,Fun Time Is Over,"May 23, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-23-fun-time-is-over.png,"Pete, Spirit Dragon",https://www.housepetscomic.com/comic/2012/05/23/fun-time-is-over/,55.0,The Trial in Heaven
0607,We All Dream For Sundering,"May 25, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-25-we-all-dream-for-sundering.png,"Bahamut, Fido, Grape, Off-Putting Figurines, Peanut, Pete, Raccoons, Source of Unspeakable Power, Tarot, Woodland Critters, Zach",https://www.housepetscomic.com/comic/2012/05/25/we-all-dream-for-sundering/,55.0,The Trial in Heaven
0608,The Devil You Know,"May 28, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-28-the-devil-you-know.png,"Bahamut, Pete",https://www.housepetscomic.com/comic/2012/05/28/the-devil-you-know/,55.0,The Trial in Heaven
0609,Slide Rule,"May 30, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-05-30-slide-rule.png,"Bahamut, Cerberus, Great Kitsune, Pete",https://www.housepetscomic.com/comic/2012/05/30/slide-rule/,55.0,The Trial in Heaven
0610,End Of Year Four,"June 1, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-01-end-of-year-four.png,"Pete, Spirit Dragon",https://www.housepetscomic.com/comic/2012/06/01/end-of-year-four/,55.0,The Trial in Heaven
0611,Year Four Epilogue,"June 4, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-04-year-four-epilogue.png,"King, Tarot",https://www.housepetscomic.com/comic/2012/06/04/year-four-epilogue/,55.0,The Trial in Heaven
0612,Science Diet,"June 6, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-06-science-diet.png,"Jerry, Marvin, Tiger",https://www.housepetscomic.com/comic/2012/06/06/science-diet/,,
0613,Order Of Magnitude,"June 8, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-08-order-of-magnitude.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2012/06/08/order-of-magnitude/,,
0614,Oldie But Goodies,"June 11, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-11-oldie-but-goodies.png,"Maxwell, Store Clerk",https://www.housepetscomic.com/comic/2012/06/11/oldie-but-goodies/,,
0615,Rhyme Time,"June 13, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-13-rhyme-time.png,Sasha,https://www.housepetscomic.com/comic/2012/06/13/rhyme-time/,,
0616,Jokers To The Right,"June 15, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-15-jokers-to-the-right.png,"Fido, Spo",https://www.housepetscomic.com/comic/2012/06/15/jokers-to-the-right/,,
0617,Guys And Debauchery,"June 18, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-18-guys-and-debauchery.png,"Grape, Peanut, Sabrina, Tarot",https://www.housepetscomic.com/comic/2012/06/18/guys-and-debauchery/,56.0,Let's Imaginate Guys and Dolls!
0618,Cheesy Goodness,"June 20, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-20-cheesy-goodness.png,"Maxwell, Peanut, Sabrina, Tarot",https://www.housepetscomic.com/comic/2012/06/20/cheesy-goodness/,56.0,Let's Imaginate Guys and Dolls!
0619,Da Bet,"June 22, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-22-da-bet.png,"Grape, Maxwell, Peanut",https://www.housepetscomic.com/comic/2012/06/22/da-bet/,56.0,Let's Imaginate Guys and Dolls!
0620,Mission Slip,"June 25, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-25-mission-slip.png,"Grape, Maxwell",https://www.housepetscomic.com/comic/2012/06/25/mission-slip/,56.0,Let's Imaginate Guys and Dolls!
0621,Just Kidding,"June 27, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-27-just-kidding.png,"Peanut, Tarot",https://www.housepetscomic.com/comic/2012/06/27/just-kidding/,56.0,Let's Imaginate Guys and Dolls!
0622,Backstage At The Club,"June 29, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-06-29-backstage-at-the-club.png,"Peanut, Sabrina, Tarot",https://www.housepetscomic.com/comic/2012/06/29/backstage-at-the-club/,56.0,Let's Imaginate Guys and Dolls!
0623,Cheshire,"July 2, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-02-cheshire.png,"Grape, Maxwell, Sabrina",https://www.housepetscomic.com/comic/2012/07/02/cheshire/,56.0,Let's Imaginate Guys and Dolls!
0624,Hungry For Cheddar,"July 4, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-04-hungry-for-cheddar.png,"Grape, Neighborhood Mice, Peanut, Sabrina, Tarot",https://www.housepetscomic.com/comic/2012/07/04/hungry-for-cheddar/,56.0,Let's Imaginate Guys and Dolls!
0625,Drinking In The Locale,"July 6, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-06-drinking-in-the-locale.png,"Grape, Maxwell",https://www.housepetscomic.com/comic/2012/07/06/drinking-in-the-locale/,56.0,Let's Imaginate Guys and Dolls!
0626,Reprise And Dolls,"July 9, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-09-reprise-and-dolls.png,"Grape, Maxwell, Neighborhood Mice, Peanut",https://www.housepetscomic.com/comic/2012/07/09/reprise-and-dolls/,56.0,Let's Imaginate Guys and Dolls!
0627,Wise And Dolls,"July 11, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-11-wise-and-dolls.png,"Maxwell, Neighborhood Mice, Sabrina, Tarot",https://www.housepetscomic.com/comic/2012/07/11/wise-and-dolls/,56.0,Let's Imaginate Guys and Dolls!
0628,Surprise And Dolls,"July 13, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-13-surprise-and-dolls.png,"Grape, Neighborhood Mice, Peanut, Sabrina",https://www.housepetscomic.com/comic/2012/07/13/surprise-and-dolls/,56.0,Let's Imaginate Guys and Dolls!
0629,Return Of The Television,"July 16, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-16-return-of-the-television.png,"Grape, Peanut, TV",https://www.housepetscomic.com/comic/2012/07/16/return-of-the-television/,,
0630,Spot Is In A Spot,"July 18, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-18-spot-is-in-a-spot.png,"Grape, Nefarious Villains, Peanut, Spot (Superdog)",https://www.housepetscomic.com/comic/2012/07/18/spot-is-in-a-spot/,,
0631,Obligatory Reference,"July 20, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-20-obligatory-reference.png,"Bino, Dallas, Fox, Joey, King, Lester, Peanut",https://www.housepetscomic.com/comic/2012/07/20/obligatory-reference/,,
0632,Genuflecting Pool,"July 23, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-23-genuflecting-pool.png,"Itsuki, Mr. Sandwich",https://www.housepetscomic.com/comic/2012/07/23/genuflecting-pool/,57.0,Testing Grounds
0633,Quell Phone,"July 25, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-25-quell-phone.png,"Cell Phone, Itsuki, Professor",https://www.housepetscomic.com/comic/2012/07/25/quell-phone/,57.0,Testing Grounds
0634,Disquieting Results,"July 27, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-27-disquieting-results.png,"Itsuki, Professor",https://www.housepetscomic.com/comic/2012/07/27/disquieting-results/,57.0,Testing Grounds
0635,Adult Subject Matter,"July 30, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-07-30-adult-subject-matter.png,"Alan, Duke, Rock, Simeon, Teddy D.",https://www.housepetscomic.com/comic/2012/07/30/adult-subject-matter/,58.0,Taking Cover
0636,Sing For Your Supper,"August 1, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-01-sing-for-your-supper.png,"Alan, Producer, Rock",https://www.housepetscomic.com/comic/2012/08/01/sing-for-your-supper/,58.0,Taking Cover
0637,That’s Entertainment,"August 3, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-03-thats-entertainment.png,"Alan, Host, TV",https://www.housepetscomic.com/comic/2012/08/03/thats-entertainment/,58.0,Taking Cover
0638,Being Conned,"August 6, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-06-being-conned.png,"Peanut, Tarot",https://www.housepetscomic.com/comic/2012/08/06/being-conned/,59.0,PsyCon
0639,Operators Are Standing By,"August 8, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-08-operators-are-standing-by.png,"???, Peanut, Tarot",https://www.housepetscomic.com/comic/2012/08/08/operators-are-standing-by/,59.0,PsyCon
0640,Extra Long Distance,"August 10, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-10-extra-long-distance.png,"Peanut, Tarot",https://www.housepetscomic.com/comic/2012/08/10/extra-long-distance/,59.0,PsyCon
0641,"Let’s Get Physical, Physical","August 13, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-13-lets-get-physical-physical.png,"Kevin, Sergeant Ralph, Vet",https://www.housepetscomic.com/comic/2012/08/13/lets-get-physical-physical/,60.0,Getting Physical
0642,Overqualifying,"August 15, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-15-overqualifying.png,"Kevin, Vet",https://www.housepetscomic.com/comic/2012/08/15/overqualifying/,60.0,Getting Physical
0643,A Winner Is You,"August 17, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-17-a-winner-is-you.png,"Fido, Kevin, Spo, Vet",https://www.housepetscomic.com/comic/2012/08/17/a-winner-is-you/,60.0,Getting Physical
0644,Two Of A Kind,"August 20, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-20-two-of-a-kind.png,"Peanut, Tarot",https://www.housepetscomic.com/comic/2012/08/20/two-of-a-kind/,61.0,PsyCon 2: PsyConner
0645,Looks Perfectly Safe,"August 22, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-22-looks-perfectly-safe.png,"Peanut, Swami-Hat Guy",https://www.housepetscomic.com/comic/2012/08/22/looks-perfectly-safe/,61.0,PsyCon 2: PsyConner
0646,Closed Dupe,"August 24, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-24-closed-dupe.png,"Other Swami-Hat Guy, Peanut, Tarot",https://www.housepetscomic.com/comic/2012/08/24/closed-dupe/,61.0,PsyCon 2: PsyConner
0647,Spot The Difference,"August 27, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-27-spot-the-difference.png,"Grape, Peanut, Spot (Superdog), The Cyborg",https://www.housepetscomic.com/comic/2012/08/27/spot-the-difference/,62.0,The Retroactively Continuous Adventures of Spot
0648,Architect Of Sleep,"August 29, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-29-architect-of-sleep.png,"Grape, Peanut, Spot (Superdog), Stripe, The Cyborg",https://www.housepetscomic.com/comic/2012/08/29/architect-of-sleep/,62.0,The Retroactively Continuous Adventures of Spot
0649,The Retcon Retcon,"August 31, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-08-31-the-retcon-retcon.png,"Grape, Peanut, Spot (Superdog), Star Clone Dream Spot (Superdog), Star Clone Dream Stripe, Stripe, The Cyborg",https://www.housepetscomic.com/comic/2012/08/31/the-retcon-retcon/,62.0,The Retroactively Continuous Adventures of Spot
0650,The One Left Behind,"September 3, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-03-the-one-left-behind.png,"Daryl, Keene, Thomas",https://www.housepetscomic.com/comic/2012/09/03/the-one-left-behind/,63.0,Temple Crashers
0651,Call No Waiting,"September 5, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-05-call-no-waiting.png,"Jeeves, Keene, Tarot",https://www.housepetscomic.com/comic/2012/09/05/call-no-waiting/,63.0,Temple Crashers
0652,Live Action Imaginating,"September 7, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-07-live-action-imaginating.png,"Keene, Sabrina",https://www.housepetscomic.com/comic/2012/09/07/live-action-imaginating/,63.0,Temple Crashers
0653,Over The Shoulder,"September 10, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-10-over-the-shoulder.png,"Karishad, Pete, Zach",https://www.housepetscomic.com/comic/2012/09/10/over-the-shoulder/,63.0,Temple Crashers
0654,A Cliche Aphorism,"September 12, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-12-a-cliche-aphorism.png,"Karishad, Keene, Zach",https://www.housepetscomic.com/comic/2012/09/12/a-cliche-aphorism/,63.0,Temple Crashers
0655,Class Warfare,"September 14, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-14-class-warfare.png,"Daryl, Karishad, Keene, Sabrina",https://www.housepetscomic.com/comic/2012/09/14/class-warfare/,63.0,Temple Crashers
0656,A Little Bit Of Class,"September 17, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-17-a-little-bit-of-class.png,"Daryl, Karishad, Keene, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/09/17/a-little-bit-of-class/,63.0,Temple Crashers
0657,"Atrium, Actually","September 19, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-19-atrium-actually.png,"Daryl, Karishad, Keene, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/09/19/atrium-actually/,63.0,Temple Crashers
0658,Split The Party (Don’t Split The Party),"September 21, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-21-split-the-party-dont-split-the-party.png,"Daryl, Gargoyles, Keene, Sabrina",https://www.housepetscomic.com/comic/2012/09/21/split-the-party-dont-split-the-party/,63.0,Temple Crashers
0659,A Fox’s Home Is His Temple,"September 24, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-24-a-foxs-home-is-his-temple.png,"Daryl, Gargoyles, Karishad, Keene, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/09/24/a-foxs-home-is-his-temple/,63.0,Temple Crashers
0660,Stragedy,"September 26, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-26-stragedy.png,"Daryl, Karishad, Keene, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/09/26/stragedy/,63.0,Temple Crashers
0661,Giant Cavern Expedition,"September 28, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-09-28-giant-cavern-expedition.png,"Daryl, Gargoyles, Grue, Karishad, Keene, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/09/28/giant-cavern-expedition/,63.0,Temple Crashers
0662,That’s Tragedy!,"October 1, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-01-thats-tragedy.png,"Grue, Karishad, Zach",https://www.housepetscomic.com/comic/2012/10/01/thats-tragedy/,63.0,Temple Crashers
0663,Call Me Gordon,"October 3, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-03-call-me-gordon.png,"Daryl, Karishad, Keene, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/10/03/call-me-gordon/,63.0,Temple Crashers
0664,The Writing On The Wall,"October 5, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-05-the-writing-on-the-wall.png,"Keene, Sabrina",https://www.housepetscomic.com/comic/2012/10/05/the-writing-on-the-wall/,63.0,Temple Crashers
0665,Aaackbar,"October 8, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-08-aaackbar.png,"Karishad, Keene, Sabrina",https://www.housepetscomic.com/comic/2012/10/08/aaackbar/,63.0,Temple Crashers
0666,Even Quadruploons,"October 10, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-10-even-quadruploons.png,"Daryl, Karishad, Keene, Pete, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/10/10/even-quadruploons/,63.0,Temple Crashers
0667,All That Glitters,"October 12, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-12-all-that-glitters.png,"Karishad, Keene, Pete, Sabrina, Zach",https://www.housepetscomic.com/comic/2012/10/12/all-that-glitters/,63.0,Temple Crashers
0668,Maybe To An Astral Plane,"October 15, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-15-maybe-to-an-astral-plane.png,"Keene, Pete, Zach",https://www.housepetscomic.com/comic/2012/10/15/maybe-to-an-astral-plane/,63.0,Temple Crashers
0669,At The End Of The Tour,"October 17, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-17-at-the-end-of-the-tour.png,"Keene, Sabrina, Scientist, Steward",https://www.housepetscomic.com/comic/2012/10/17/at-the-end-of-the-tour/,63.0,Temple Crashers
0670,Spotting In Plain Sight,"October 19, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-19-spotting-in-plain-sight.png,"Bat-Bat, Innocent Bystanders, Spot (Superdog), The Underwater Mutt",https://www.housepetscomic.com/comic/2012/10/19/spotting-in-plain-sight/,64.0,All Hallow's Ween
0671,Some Weening To Do,"October 22, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-22-some-weening-to-do.png,"Grape, Peanut",https://www.housepetscomic.com/comic/2012/10/22/some-weening-to-do/,64.0,All Hallow's Ween
0672,We’ll Leave A Light On,"October 24, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-24-well-leave-a-light-on.png,"Karishad, Sabrina, Tarot",https://www.housepetscomic.com/comic/2012/10/24/well-leave-a-light-on/,64.0,All Hallow's Ween
0673,Boo-lean Logic,"October 26, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-26-boo-lean-logic.png,"Bino, Sasha",https://www.housepetscomic.com/comic/2012/10/26/boo-lean-logic/,64.0,All Hallow's Ween
0674,Trolling With Trolls,"October 29, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-10-29-trolling-with-trolls.png,"Maxwell, Zach",https://www.housepetscomic.com/comic/2012/10/29/trolling-with-trolls/,64.0,All Hallow's Ween
0675,Seasons Greetings,"November 21, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-11-21-seasons-greetings.png,"Bailey, Fox, King",https://www.housepetscomic.com/comic/2012/11/21/seasons-greetings/,65.0,The Unbearable Lightness of Being a Dog
0676,"In This Comic, Somebody Buys The Farm","November 23, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-11-23-in-this-comic-somebody-buys-the-farm.png,"Bailey, King",https://www.housepetscomic.com/comic/2012/11/23/in-this-comic-somebody-buys-the-farm/,65.0,The Unbearable Lightness of Being a Dog
0677,I’ve Got A Funny Feeling,"November 26, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-11-26-ive-got-a-funny-feeling.png,"Fox, King",https://www.housepetscomic.com/comic/2012/11/26/ive-got-a-funny-feeling/,65.0,The Unbearable Lightness of Being a Dog
0678,My Classics Minor Pays Off,"November 28, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-11-28-my-classics-minor-pays-off.png,"King, Miles, Poncho",https://www.housepetscomic.com/comic/2012/11/28/my-classics-minor-pays-off/,65.0,The Unbearable Lightness of Being a Dog
0679,BYOBS,"November 30, 2012",https://www.housepetscomic.com/wp-content/uploads/2016/07/2012-11-30-byobs.png,"King, Miles",https://www.housepetscomic.com/comic/2012/11/30/byobs/,65.0,The Unbearable Lightness of Being a Dog
